,text,predicted_posize,value_posize,predicted_podisease,value_podisease,predicted_poage,value_poage,predicted_poss,value_poss,predicted_prdisease,value_prdisease,predicted_pogender,value_pogender,predicted_poprocedure,value_poprocedure,predicted_prss,value_prss,predicted_potreatment,value_potreatment,predicted_pophyconditon,value_pophyconditon,predicted_prbehavior,value_prbehavior,predicted_pomedhistory,value_pomedhistory,predicted_poclinical,value_poclinical,predicted_iprocedure,value_iprocedure,predicted_idiagnostic,value_idiagnostic,predicted_idisease,value_idisease,predicted_idiagnostictest,value_idiagnostictest,predicted_iss,value_iss,predicted_otreatment,value_otreatment,predicted_opatient,value_opatient
169,daily losartan based or atenolol based antihypertensive treatment for at least 4 years and until 1040 patients had a primary cardiovascular event,0.070099853,0,0.104831249,0,0.049612269,0,0.063669086,0,0.074554004,0,0.048936088,0,0.048165184,0,0.044257153,0,0.038444884,0,0.059005056,0,0.031474128,0,0.034552127,0,0.041218154,0,0.317067742,0,0.08678443,1,0.044714272,0,0.05090116,0,0.060644057,0,0.162029043,0,0.078622155,0
170,after 1 2 weeks of placebo if trough sitting blood pressures were 160 200 mm hg systolic 95 115 mm hg diastolic or both,0.074705362,0,0.117050767,0,0.055883318,0,0.072210409,0,0.064090498,0,0.050539289,0,0.046698652,0,0.042600147,0,0.039181899,0,0.066061459,0,0.032277815,0,0.037644327,0,0.041764393,0,0.27525112,1,0.080757655,0,0.040694777,0,0.051661722,0,0.058373455,0,0.136640713,0,0.079234846,0
171,at least 4 years with regular visits and increases in drug,0.06217194,0,0.108976461,0,0.048277561,0,0.074464329,0,0.074445277,0,0.051965095,0,0.057180282,0,0.046644419,0,0.038646959,0,0.073411077,0,0.032609459,0,0.03518324,0,0.039531592,0,0.194148377,0,0.084265932,1,0.046122387,0,0.050669409,0,0.061278637,0,0.209987178,0,0.093326889,0
172,measured serum and plasma concentrations in two central laboratories of haemoglobin creatinine alanine aminotransferase glucose uric acid sodium potassium total and hdl cholesterol and urine concentrations of albumin and creatinine,0.080669068,0,0.109527156,0,0.054486126,0,0.063631192,0,0.073280431,0,0.048007719,0,0.044990677,0,0.045328476,0,0.040351808,0,0.057527915,0,0.031595152,0,0.035868358,0,0.043386776,0,0.353851378,0,0.087699756,0,0.043693174,0,0.054086916,1,0.060506649,0,0.140467167,0,0.075370312,0
173,a follow up clinic visit or at least a vital status check within 6 weeks,0.085480429,0,0.109336719,0,0.063045494,0,0.069047645,0,0.074611768,0,0.055792082,0,0.046476707,0,0.044954617,0,0.042810921,0,0.0631494,0,0.034666263,0,0.043934282,0,0.049857885,0,0.469107479,1,0.093883745,0,0.044812661,0,0.060478382,0,0.068114214,0,0.120575897,0,0.081626937,0
174,little effect on the estimate of the benefit associated with losartan,0.065573186,0,0.095029473,0,0.059482157,0,0.088748582,0,0.11071714,0,0.067399889,0,0.079984769,0,0.066502787,0,0.048821375,0,0.089618683,0,0.041677784,0,0.046552692,0,0.047054447,0,0.150368556,0,0.102202937,0,0.070499726,0,0.062224962,0,0.082021073,0,0.400056839,1,0.128513411,0
175,greater reduction of lvh after more than 4 years of treatment with losartan than with atenolol,0.065035097,0,0.096605837,0,0.056479815,0,0.082180813,0,0.103241734,0,0.057879254,0,0.070120342,0,0.064016946,0,0.045956802,0,0.080885172,0,0.038995668,0,0.042436969,0,0.045854714,0,0.147158161,0,0.099261977,0,0.065897748,0,0.058153294,0,0.079772107,0,0.365233928,1,0.118492767,0
176,increased protection against the detrimental effects of angiotensin ii or from specific effects of losartan,0.068573453,0,0.097968653,0,0.060087353,0,0.086242579,0,0.110956669,0,0.060484305,0,0.074012809,0,0.07013917,0,0.049122892,0,0.084505543,0,0.041671984,0,0.044915464,0,0.048564922,0,0.139478073,0,0.102701396,0,0.070695609,0,0.059565023,0,0.084927239,0,0.391494513,1,0.122035444,0
177,a blood pressure independent predictor,0.072741583,0,0.119558133,0,0.051717982,0,0.075858481,0,0.077032581,0,0.052182321,0,0.057141423,0,0.050700776,0,0.040919945,0,0.0740164,0,0.034620725,0,0.03497643,0,0.042226687,0,0.150165796,0,0.085655749,0,0.04879814,0,0.050613761,0,0.064641908,0,0.222362742,1,0.098200105,0
178,the cardioprotective properties of blockers 12 13,0.066579692,0,0.09322641,0,0.052579746,0,0.072467692,0,0.09388651,0,0.054263636,0,0.062677145,0,0.056334469,0,0.041455433,0,0.071049437,0,0.035963379,0,0.038631577,0,0.043119971,0,0.168109387,0,0.095209524,0,0.057624951,0,0.054736685,0,0.072471909,0,0.305162013,1,0.104879849,0
179,105 patients,0.334456354,1,0.176662967,0,0.119646452,0,0.09181197,0,0.087886646,0,0.08219894,0,0.051166266,0,0.065886654,0,0.069080055,0,0.072545603,0,0.046420436,0,0.063387796,0,0.06311629,0,0.199629843,0,0.094481207,0,0.062869214,0,0.075501457,0,0.080993302,0,0.137201995,0,0.106250681,0
180,50 or 100 mgs of misoprostol,0.101470396,0,0.105578035,0,0.067706354,0,0.066294312,0,0.083405584,0,0.059637576,0,0.046894934,0,0.047435995,0,0.04613433,0,0.059502453,0,0.03615414,0,0.047721449,0,0.055766605,0,0.546183527,1,0.098867439,0,0.050006784,0,0.063843876,0,0.07301452,0,0.128242001,0,0.083495677,0
181,a reassuring ctg recording,0.091178566,0,0.105576277,0,0.061176695,0,0.065005049,0,0.074248381,0,0.055188157,0,0.044996243,0,0.04309608,0,0.041246153,0,0.059666093,0,0.033498503,0,0.041808996,0,0.046974126,0,0.453711182,0,0.091532484,0,0.043567318,0,0.059144359,1,0.064393401,0,0.122570068,0,0.079678312,0
182,50 mgs as their first dose,0.104083627,0,0.107039228,0,0.068860874,0,0.066573419,0,0.084422953,0,0.061046068,0,0.047706988,0,0.047723085,0,0.046461232,0,0.061189041,0,0.03642885,0,0.048141226,0,0.055110302,0,0.546988785,1,0.102892838,0,0.04991312,0,0.064295076,0,0.071972542,0,0.12545605,0,0.083206914,0
183,women were asked to complete a questionnaire postnatally,0.083249226,0,0.107912049,0,0.05861469,0,0.066914551,0,0.067649193,0,0.053061072,0,0.044146039,0,0.041490819,0,0.03912333,0,0.060190849,0,0.032083802,0,0.040036783,0,0.044808846,0,0.379447967,0,0.084908113,1,0.040944222,0,0.054941632,0,0.061734818,0,0.123136759,0,0.07756032,0
184,16 women in the low dose group who did not respond to the misoprostol,0.063897491,0,0.098487064,0,0.048694935,0,0.070807233,0,0.085101269,0,0.052819196,0,0.059616674,0,0.050771162,0,0.039724078,0,0.070475496,0,0.033680107,0,0.035778325,0,0.040605739,0,0.17718333,0,0.089974396,0,0.05241777,1,0.051628258,0,0.067930549,0,0.272351712,0,0.100237139,0
185,six women with failed inductions,0.103505015,0,0.13198255,0,0.062419161,0,0.074671142,0,0.063103251,0,0.052529104,0,0.045066953,0,0.043789327,0,0.042023372,0,0.063384019,0,0.032889985,0,0.037439059,0,0.043146625,0,0.220352143,0,0.076286323,0,0.040646594,1,0.050379608,0,0.059320711,0,0.130689532,0,0.077288434,0
186,100 mgs dose in parous women,0.097687565,0,0.111633405,0,0.062941819,0,0.063890703,0,0.074622557,0,0.052641969,0,0.04343475,0,0.044707235,0,0.042998306,0,0.055800334,0,0.032966591,0,0.039889038,0,0.04694774,0,0.434109449,0,0.091747239,1,0.04395755,0,0.055274341,0,0.063409828,0,0.117330983,0,0.075224452,0
187,effective in inducing labor,0.060591016,0,0.093920745,0,0.05690328,0,0.087851942,0,0.103590973,0,0.068185821,0,0.08013536,0,0.061226025,0,0.043874841,0,0.090618163,0,0.040468015,0,0.043606546,0,0.042743728,0,0.161488622,0,0.099297345,0,0.064722039,0,0.061517797,0,0.075227141,0,0.357117236,1,0.120399348,0
188,no significant difference in the number of women delivering within 24 h,0.066394113,0,0.100312248,0,0.057507634,0,0.085344836,0,0.099372447,0,0.062913716,0,0.075370312,0,0.062915288,0,0.04548483,0,0.088471092,0,0.039741859,0,0.042321227,0,0.044474542,0,0.134173304,0,0.096783608,0,0.063652486,0,0.057494801,0,0.078232728,0,0.355293393,0,0.125980988,1
189,the difference in the induction to vaginal delivery interval between the two groups was even smaller,0.063700318,0,0.093460545,0,0.056422468,0,0.08032991,0,0.101667173,0,0.062164862,0,0.072606556,0,0.060936052,0,0.044587705,0,0.083263353,0,0.038763054,0,0.042115826,0,0.044565894,0,0.152262688,0,0.099375434,0,0.063569918,0,0.058321416,0,0.077224664,0,0.358872712,0,0.119527139,1
190,50 mgs dose does not seem adequate to initiate the changes,0.06275066,0,0.096391812,0,0.053711027,0,0.080222569,0,0.098067909,0,0.05891091,0,0.069993593,0,0.059191488,0,0.043622598,0,0.081900552,0,0.037751228,0,0.041157555,0,0.044095233,0,0.154478088,0,0.098263867,0,0.061384082,0,0.057593111,0,0.075597256,0,0.349374771,1,0.116969489,0
191,the safety and effectiveness of vag inal with oral misoprostol for induction of labor,0.063045174,0,0.09084858,0,0.056744263,0,0.078344002,0,0.109098569,1,0.057254825,0,0.071538128,0,0.06500864,0,0.045683604,0,0.078260966,0,0.039683517,0,0.043381568,0,0.045199312,0,0.16538243,0,0.103461266,0,0.066795737,0,0.06012895,0,0.081164204,0,0.362464488,0,0.115466423,0
192,107 women,0.305968881,1,0.165337056,0,0.117285654,0,0.089485526,0,0.079837553,0,0.0872453,1,0.048747357,0,0.056767274,0,0.061749585,0,0.071362458,0,0.045496956,0,0.062922344,0,0.061549421,0,0.201890275,0,0.089118935,0,0.05586312,0,0.075417571,0,0.074987292,0,0.130063325,0,0.107053317,0
193,clinical indication for induction,0.082771957,0,0.121779479,1,0.05322269,0,0.07288985,0,0.066109709,0,0.050669789,0,0.048640043,0,0.043909542,0,0.040236451,0,0.066198699,0,0.032672938,0,0.035050306,0,0.041533995,0,0.208063453,0,0.078541517,0,0.041907925,0,0.050127335,0,0.058011811,0,0.151468575,0,0.081561826,0
194,indications for induction and a single live fetus older than 37 weeks gestation in cephalic presentation and no contraindication to vaginal delivery,0.067743167,0,0.119589441,1,0.050258946,0,0.076066293,0,0.072050653,0,0.050099038,0,0.054947142,0,0.048173655,0,0.039868295,0,0.073828928,0,0.033413563,0,0.034819204,0,0.041551005,0,0.179870456,0,0.083101697,0,0.045565993,0,0.050997585,0,0.061474171,0,0.197606966,0,0.088621251,0
195,previous uterine surgery known prostaglandin hypersensitiv ity three or more contractions per 10 minutes nonreassuring fetal heart tracings and those with vaginal birth contraindications,0.069505669,0,0.117531255,1,0.050355896,0,0.070494488,0,0.070969,0,0.047551055,0,0.049625859,0,0.046042677,0,0.039292507,0,0.065921821,0,0.032257959,0,0.034198895,0,0.040912367,0,0.228482023,0,0.084010668,0,0.043394312,0,0.049798667,0,0.059917402,0,0.169881403,0,0.08051613,0
196,doses of 100 g of oral or 25 g of vaginal misoprostol were given every 3 4 hours,0.106803626,0,0.108545609,0,0.076383471,0,0.069250584,0,0.087107249,0,0.062165186,0,0.048823956,0,0.050648775,0,0.050824735,0,0.062553734,0,0.038950399,0,0.054546021,0,0.062629037,0,0.592629075,1,0.108281739,0,0.054064739,0,0.069144122,0,0.079598099,0,0.126174361,0,0.089276664,0
197,if cervical ripening or active labor did not occur repeated doses of oral 100 200 g or vaginal 25 50 g were given,0.076807089,0,0.108863786,0,0.053613536,0,0.065663494,0,0.069392048,0,0.049915563,0,0.045162089,0,0.042851932,0,0.039394341,0,0.059922524,0,0.031151414,0,0.036593623,0,0.041545235,0,0.342996866,1,0.085143015,0,0.041710082,0,0.051842816,0,0.058784641,0,0.135165393,0,0.077070504,0
198,occurrence of progressive labor as evidenced by a bishop score of 7 or more,0.066677064,0,0.105593748,0,0.055013373,0,0.083498739,0,0.091527842,0,0.057614192,0,0.068093345,0,0.059673075,0,0.043437347,0,0.083245151,0,0.038095038,0,0.039810594,0,0.044094842,0,0.132345289,0,0.093195736,0,0.059612051,1,0.054813281,0,0.074250899,0,0.320818603,0,0.116685264,0
199,fifty nine women received oral misoprostol and 48 received vaginal administration,0.11027395,0,0.110797204,0,0.072625592,0,0.067400083,0,0.083131462,0,0.059579793,0,0.046960104,0,0.048170321,0,0.048007961,0,0.060325604,0,0.036640882,0,0.049761202,0,0.057585824,0,0.556436956,1,0.102259785,0,0.049571596,0,0.065041922,0,0.074172705,0,0.119111739,0,0.084014922,0
200,oral misoprostol has the potential to induce labor as safely and effectively as its vaginal analogue,0.061376557,0,0.088060871,0,0.056633484,0,0.07733652,0,0.110947371,0,0.05981363,0,0.072389357,0,0.063952528,0,0.045848235,0,0.07682839,0,0.041065071,0,0.044490695,0,0.045394436,0,0.184520051,0,0.105710261,0,0.066769384,0,0.061638925,0,0.081329808,0,0.356811315,1,0.113967203,0
201,delivery time was similar,0.061690856,0,0.096651509,0,0.052069541,0,0.077395216,0,0.088217653,0,0.059583165,0,0.065785043,0,0.053347539,0,0.039759126,0,0.079161741,0,0.035848591,0,0.038427934,0,0.040822286,0,0.163811311,0,0.093612686,0,0.055631734,0,0.054894477,0,0.068836682,0,0.296201199,1,0.109426759,0
202,nulliparous women receiving oral misoprostol were twice as likely to need assistance in delivery,0.062563047,0,0.098376803,0,0.046842691,0,0.068021357,0,0.083857425,0,0.051130407,0,0.05695923,0,0.04861261,0,0.038534079,0,0.066560328,0,0.032973457,0,0.034812074,0,0.040688116,0,0.208579436,0,0.090397634,0,0.050819676,0,0.052345462,0,0.065924779,0,0.25445959,1,0.094869196,0
203,a total of 1677 patients,0.319171429,1,0.190291449,0,0.127731875,0,0.091895565,0,0.08832629,0,0.080556788,0,0.050167568,0,0.065846875,0,0.072170071,0,0.07321541,0,0.047530048,0,0.065645434,0,0.066575222,0,0.200963944,0,0.095052689,0,0.062437903,0,0.074377142,0,0.08069402,0,0.129602119,0,0.105408646,0
204,aged 18 80 years,0.213986799,0,0.163459688,0,0.14714466,1,0.095717005,0,0.071429253,0,0.085504174,0,0.047290299,0,0.052442253,0,0.060210984,0,0.072474733,0,0.048816841,0,0.069137871,0,0.067936786,0,0.197940826,0,0.088315703,0,0.046949074,0,0.073640659,0,0.071971051,0,0.106680959,0,0.106229357,0
205,stable or unstable angina or silent ischemia following successful completion of their first pci,0.064453281,0,0.113395758,0,0.048538256,0,0.075136907,0,0.079993926,0,0.049582582,0,0.058937065,1,0.051232852,0,0.040610831,0,0.073815174,0,0.034523062,0,0.034550752,0,0.041951466,0,0.167366832,0,0.088613085,0,0.05033952,0,0.050540939,0,0.066462442,0,0.240532398,0,0.096337579,0
206,men and women,0.105225734,0,0.113782577,0,0.066461332,0,0.087434009,0,0.07121402,0,0.085391566,1,0.061984051,0,0.049943566,0,0.040955573,0,0.083615221,0,0.040197659,0,0.043960616,0,0.042766411,0,0.19085823,0,0.07610739,0,0.046458095,0,0.063075185,0,0.062761649,0,0.169332057,0,0.102312677,0
207,total cholesterol level between 135 and 270 mg dl 3 5 7 0 mmol l with fasting triglyceride levels of less than 400 mg dl 4 5 mmol l before the index procedure,0.065514714,0,0.108693585,0,0.049604625,0,0.070185773,0,0.07189066,0,0.050243162,0,0.053818021,0,0.045852251,0,0.03854198,0,0.067601375,1,0.03236739,0,0.034353044,0,0.03954269,0,0.210295066,0,0.085599408,0,0.044818319,0,0.04947301,0,0.060128357,0,0.19125627,0,0.085824996,0
208,fluvastatin 80 mg d n 844 or matching placebo n 833 at hospital discharge,0.103308395,0,0.112547182,0,0.068970628,0,0.065839924,0,0.075427711,0,0.054344758,0,0.043551613,0,0.045561116,0,0.04610277,0,0.057442401,0,0.034350622,0,0.045739263,0,0.052651983,0,0.499703467,1,0.095662214,0,0.045815907,0,0.059985999,0,0.068453677,0,0.115086362,0,0.080577791,0
209,patients were recruited and were randomly assigned to receive either fluvastatin n 844 or placebo n 833,0.10842289,0,0.115011103,0,0.074438699,0,0.066646501,0,0.076471537,0,0.056333601,0,0.043947451,0,0.045519251,0,0.046676897,0,0.058203619,0,0.035028629,0,0.050294675,0,0.057150673,0,0.528017342,1,0.098384954,0,0.047222901,0,0.06390886,0,0.07232742,0,0.116984308,0,0.084025688,0
210,3 to 4 years,0.153729334,0,0.133556411,0,0.099867463,0,0.080281138,0,0.061069015,0,0.067396797,0,0.04240375,0,0.042116784,0,0.046057507,0,0.064044677,0,0.037159625,0,0.052175529,0,0.053235929,0,0.277119428,1,0.081894025,0,0.039992511,0,0.06173899,0,0.061398923,0,0.102534585,0,0.087077118,0
211,97 of patients in the fluvastatin group and 98 in the placebo group were taking aspirin,0.088513255,0,0.103218183,0,0.054791681,0,0.061065301,0,0.074500471,0,0.05229646,0,0.043573573,0,0.042329144,0,0.039939675,0,0.05498004,0,0.031406555,0,0.038749389,0,0.044983298,0,0.417544842,1,0.086342543,0,0.043634046,0,0.054850161,0,0.063674174,0,0.143219739,0,0.078136295,0
212,the proportion of patients taking other cardiovascular drugs during the study such as blockers calcium antagonists nitrates angiotensin converting enzyme inhibitors and diuretics was similar between groups,0.067110345,0,0.097795367,0,0.056686968,0,0.074157678,0,0.100673869,0,0.053222664,0,0.064256415,0,0.063616328,0,0.045312863,0,0.072314367,0,0.037811883,0,0.040853992,0,0.046699181,0,0.152176797,0,0.099854775,0,0.06407354,0,0.05546974,0,0.080001928,1,0.328377664,0,0.109022371,0
213,the median reduction in fasting triglycerides was 14 in both groups,0.064609915,0,0.093920283,0,0.054982577,0,0.080094717,0,0.100151375,0,0.06062372,0,0.07065168,0,0.060082506,0,0.043938965,0,0.082278699,0,0.038465276,0,0.042201146,0,0.044587176,0,0.155808792,0,0.098715007,0,0.062892467,0,0.058704816,0,0.07721813,1,0.359243363,0,0.118283033,0
214,patients with average cholesterol levels early cholesterol lowering treatment with fluvastatin 80 mg d following first pci with or without stenting resulted in a 5 3 absolute reduction and a 22 relative reduction in the risk of fatal or nonfatal major adverse cardiac events,0.061787061,0,0.103300959,0,0.051364094,0,0.074258372,0,0.089779325,0,0.051348645,0,0.063126355,0,0.056615666,0,0.042298079,0,0.075063132,0,0.036056619,0,0.037215453,0,0.042913064,0,0.159944251,0,0.09561535,0,0.056592301,0,0.052596331,0,0.072444394,0,0.290436506,0,0.104562253,1
215,compare the effects of the angiotensin ii antagonist losartan with those of atenolol on left ventricular hypertrophy lvh blood pressure and neurohormone concentrations in hypertensive patients with lvh,0.073315933,0,0.105994947,0,0.058312677,0,0.076790102,0,0.102300674,0,0.051352002,0,0.062481474,0,0.068462923,1,0.047649287,0,0.073161572,0,0.039424874,0,0.040717836,0,0.04827226,0,0.142096162,0,0.101020135,0,0.065758102,0,0.055602171,0,0.082613088,0,0.330292225,0,0.108862773,0
216,hypertensive patients with an echocardiographically documented left ventricular mass,0.084821686,0,0.131920725,0,0.054922439,0,0.074908674,0,0.068363637,0,0.048104566,0,0.048548326,0,0.047596917,0,0.042383272,0,0.066196285,0,0.033690426,0,0.034814589,0,0.043522343,1,0.189547315,0,0.080757253,0,0.044068668,0,0.049548518,0,0.061326057,0,0.161376029,0,0.081249721,0
217,men and women,0.105225734,0,0.113782577,0,0.066461332,0,0.087434009,0,0.07121402,0,0.085391566,1,0.061984051,0,0.049943566,0,0.040955573,0,0.083615221,0,0.040197659,0,0.043960616,0,0.042766411,0,0.19085823,0,0.07610739,0,0.046458095,0,0.063075185,0,0.062761649,0,0.169332057,0,0.102312677,0
218,aged 21 80 years,0.198317692,0,0.157357991,0,0.141671792,1,0.096749105,0,0.069148861,0,0.085246176,0,0.048041057,0,0.051479492,0,0.057843436,0,0.073448293,0,0.04881648,0,0.067812838,0,0.065957546,0,0.194401368,0,0.086232357,0,0.045562495,0,0.072287053,0,0.070427105,0,0.109213404,0,0.10738454,0
219,with mild to moderate essential hypertension,0.084685154,0,0.137826249,0,0.059423793,0,0.08772967,0,0.064103179,0,0.055247515,0,0.054271907,0,0.046650454,0,0.044015441,0,0.077884607,0,0.035986103,0,0.039054815,0,0.044845618,1,0.17878446,0,0.076242626,0,0.043589007,0,0.053406473,0,0.06172239,0,0.158918217,0,0.091079473,0
220,receive losartan or atenolol 50 mg once daily for 36 weeks,0.10643553,0,0.10636197,0,0.073215537,0,0.070561193,0,0.092624761,0,0.065620989,0,0.051199012,0,0.052225716,0,0.051626783,0,0.066130802,0,0.040666584,0,0.055255245,0,0.063667312,0,0.608616114,1,0.112107813,0,0.056961257,0,0.071052112,0,0.082587145,0,0.133151785,0,0.091570258,0
221,the ability of losartan 14 15 16 18 19 and other ang ii antagonists including valsartan 17 and irbesartan 20 to produce significant improvements in one or more indices of lvh,0.063328862,0,0.092081025,0,0.056205198,0,0.075475782,0,0.10114865,0,0.056331284,0,0.067555577,0,0.062354531,0,0.044999875,0,0.075974122,0,0.038856905,0,0.04189707,0,0.044270266,0,0.165019244,0,0.101662993,0,0.063694306,0,0.05670977,0,0.078793496,0,0.342322469,1,0.111053452,0
222,both losartan and atenolol based regimens effectively decreased blood pressure,0.063136168,0,0.091875471,0,0.056223515,0,0.079542786,0,0.106576256,0,0.058589485,0,0.071112059,0,0.063619651,0,0.045615103,0,0.079001032,0,0.039214324,0,0.043771304,0,0.045454431,0,0.163119435,0,0.101715416,0,0.066030778,0,0.059833769,0,0.080273665,0,0.366317689,1,0.115327694,0
223,losartan was significantly non inferior p 0 001 non inferiority limit 8 g m 2 and numerically superior to atenolol in reducing lvmi,0.066473551,0,0.100778043,0,0.054913085,0,0.079870448,0,0.09723942,0,0.056672666,0,0.066767804,0,0.0615041,0,0.044292007,0,0.080943577,0,0.038228296,0,0.040289473,0,0.044966754,0,0.144267514,0,0.097778037,0,0.06132666,0,0.056395713,0,0.076970764,0,0.344913453,1,0.114504114,0
224,both the losartan and atenolol regimens were well tolerated,0.065377206,0,0.08880613,0,0.056425072,0,0.078896664,0,0.10882201,0,0.061538845,0,0.070854567,0,0.062831402,0,0.045766715,0,0.07697545,0,0.040006042,0,0.045344479,0,0.046130784,0,0.178286925,0,0.104671799,0,0.067123987,0,0.06099724,0,0.081710294,0,0.366516769,1,0.115705118,0
225,the incidence of drug related clinical adverse events in patients receiving losartan was significantly lower than that in patients receiving atenolol,0.067067683,0,0.100434691,0,0.054582637,0,0.076985262,0,0.096146323,0,0.055200219,0,0.064902022,0,0.060051277,0,0.043691508,0,0.076887868,0,0.03723247,0,0.039461177,0,0.04481985,0,0.145426512,0,0.094804682,0,0.060491562,0,0.054769546,0,0.07624349,0,0.325453043,1,0.112431094,0
226,30 untreated hypertensive patients,0.147787884,1,0.15711011,0,0.079796299,0,0.082227096,0,0.066175722,0,0.056386057,0,0.044985265,0,0.04969354,0,0.050743639,0,0.06419006,0,0.036946587,0,0.042954545,0,0.050186321,0,0.208191901,0,0.081997737,0,0.045045283,0,0.055656645,0,0.065908968,0,0.118676223,0,0.081035905,0
227,hypertensive,0.08490552,0,0.123233937,0,0.055869881,0,0.077128947,0,0.068941541,1,0.054675035,0,0.050771806,0,0.045304656,0,0.040241994,0,0.068084098,0,0.033894073,0,0.035946768,0,0.041890047,0,0.182506576,0,0.075411752,0,0.04281899,0,0.050177217,0,0.060952798,0,0.164097786,0,0.085365467,0
228,aged 28 55 years,0.17996487,0,0.14860706,0,0.132933736,1,0.094898112,0,0.066499293,0,0.082990229,0,0.048781455,0,0.049842142,0,0.054200612,0,0.073612653,0,0.047145005,0,0.063108079,0,0.062617898,0,0.195282802,0,0.084572725,0,0.04417713,0,0.069469459,0,0.067934759,0,0.111385621,0,0.103105709,0
229,untreated,0.094792083,0,0.113845296,0,0.057599723,0,0.070178509,0,0.06470824,0,0.053898785,0,0.044108309,0,0.041440409,0,0.039152239,1,0.062106773,0,0.031393811,0,0.03652646,0,0.04129421,0,0.256577224,0,0.075961821,0,0.039767977,0,0.051230147,0,0.057225175,0,0.130941704,0,0.077116229,0
230,six 6 week periods of daily treatment,0.105074309,0,0.109188959,0,0.068402521,0,0.06583032,0,0.081394225,0,0.058118451,0,0.04650598,0,0.046294261,0,0.045348268,0,0.059602734,0,0.035310749,0,0.045109265,0,0.05259008,0,0.513780713,1,0.098645285,0,0.047068059,0,0.061914496,0,0.068989277,0,0.117628239,0,0.080308832,0
231,daily treatment with amlodipine 5 mg doxazosin 4 mg lisinopril 10 mg bisoprolol 5 mg bendrofluazide 2 5 mg or placebo,0.105061062,0,0.108180806,0,0.075900041,0,0.069657229,0,0.090001762,0,0.062114425,0,0.049313165,0,0.05117248,0,0.050593682,0,0.063865557,0,0.039173231,0,0.055953596,0,0.063871115,0,0.600625575,1,0.110081285,0,0.054828983,0,0.07112702,0,0.081790313,0,0.132127315,0,0.091326371,0
232,antihypertensive drugs differ in their short term effects on augmentation of the systolic pulse wave and secretion of bnp from the heart,0.068471476,0,0.099749908,0,0.057520516,0,0.077794917,0,0.103235178,0,0.055466194,0,0.066020429,0,0.064677626,0,0.046493955,0,0.076350436,0,0.039012741,0,0.041701771,0,0.046964608,0,0.146272615,0,0.099750198,0,0.064831257,0,0.056264117,0,0.081496224,0,0.348364562,1,0.112917952,0
233,calcium blockers being most effective in preventing strokes,0.062091198,0,0.093495294,0,0.059563793,0,0.089373305,0,0.110800624,0,0.066762485,0,0.080411151,0,0.066308618,0,0.047341954,0,0.089274883,0,0.041950669,0,0.046156313,0,0.04631418,0,0.152365446,0,0.103580922,0,0.069783352,0,0.062092651,0,0.0816238,0,0.394804925,1,0.123433776,0
234,angiotensin converting enzyme ace inhibitors and diuretics having the edge in preventing coronary disease,0.064115427,0,0.098570094,0,0.057144102,0,0.079883188,0,0.104828194,0,0.055642333,0,0.069064885,0,0.064707823,0,0.045651712,0,0.079370223,0,0.039225582,0,0.041937526,0,0.045535177,0,0.144802913,0,0.099156432,0,0.064377315,0,0.056981497,0,0.079971537,0,0.347559988,1,0.114182174,0
235,not all patients tolerated the drugs equally well,0.070519201,0,0.106222473,0,0.051260278,0,0.076132581,0,0.078786232,0,0.054558963,0,0.059195351,0,0.050765995,0,0.039617464,0,0.074294575,0,0.034404621,0,0.035742845,0,0.041449197,0,0.151474789,0,0.086313412,0,0.05037922,0,0.051150244,0,0.065755971,0,0.256067812,0,0.102282688,1
236,exclusion criteria included diastolic bp of less than 95 mm hg known history of diabetes mellitus fasting glucose 140 mg dl or random glucose 200 mg dl urinary protein to creatinine ratio of more than 2 5 accelerated or malignant hypertension within 6 months secondary hypertension evidence of non bp related causes of chronic kidney disease serious systemic disease clinical congestive heart failure or specific indication for or contraindication to a study drug or study procedure,0.073567532,0,0.128670245,1,0.053667385,0,0.074933313,0,0.075243101,0,0.047244478,0,0.052978601,0,0.052496128,0,0.042474978,0,0.067152314,0,0.035574865,0,0.035435952,0,0.044175208,0,0.179492593,0,0.086896926,0,0.049105063,0,0.050008327,0,0.065956995,0,0.187484697,0,0.084340431,0
237,three comparisons were specified lower vs usual bp goal ramipril vs metoprolol and amlodipine vs metoprolol,0.066781648,0,0.103018075,0,0.047058113,0,0.064085692,0,0.077552289,0,0.048271865,0,0.051104549,0,0.045805234,0,0.038084935,0,0.06068033,0,0.03172097,0,0.033285048,0,0.040290985,0,0.252548903,1,0.08814808,0,0.046710964,0,0.05035888,0,0.062135864,0,0.202957585,0,0.083870642,0
238,antihypertensive drugs a sustainedrelease blocker metoprolol 50 to 200 mg d an angiotensin converting enzyme inhibitor ramipril 2 5 to 10 mg d or a dihydropyridine calcium channel blocker amlodipine 5 to 10 mg d,0.0737627,0,0.103571624,0,0.050218802,0,0.061398737,0,0.078027591,0,0.048325818,0,0.047620028,0,0.046111275,0,0.038909052,0,0.055619862,0,0.031662405,0,0.033828881,0,0.04226185,0,0.311885208,0,0.089759648,1,0.046409313,0,0.051955886,0,0.062820725,0,0.182148695,0,0.078327067,0
