id,text,file_path,predicted_iprocedure,predicted_posize,predicted_podisease,predicted_otreatment,predicted_idiagnostic,predicted_opatient,predicted_prdisease,predicted_pogender,predicted_poage,predicted_idiagnostictest,predicted_iss,predicted_pophyconditon,predicted_poss,predicted_prss,predicted_poprocedure,predicted_potreatment,predicted_idisease,predicted_pomedhistory,predicted_prbehavior,predicted_poclinical,value_posize,value_podisease,value_iprocedure,value_iss,value_opatient,value_otreatment,value_prdisease,value_pogender,value_idiagnostic,value_idiagnostictest,value_poage,value_pophyconditon,value_idisease,value_prss,value_poss,value_potreatment,value_poprocedure,value_poclinical,value_prbehavior,value_pomedhistory,predicted_p,predicted_i,predicted_o,value_p,value_i,value_o
159,the mean induction to vaginal delivery interval in the oral 50 mgs group in our earlier study 6 was 28 h with a standard deviation of 16 h taking a shortening of 7 h in this interval for the 100 mgs group as clinically significant we calculated that 105 patients would be required to give the study a power of 80 a 0 02 b 0 20 instat version 3 01 graphpad software inc san diego ca usa,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.16456157,0.063009195,0.040800866,0.026618509,0.03335407,0.028039083,0.031517301,0.025299434,0.027551273,0.021642022,0.023075618,0.020004811,0.019921413,0.014325107,0.013019816,0.012162743,0.01164194,0.00833717,0.009075638,0.007673082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098316424,0.871675909,0.051131621,1,0,0
160,comparison of outcomes in labor in women randomly allocated to 50 or 100 mgs of misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.057504725,0.051185343,0.050847296,0.029665634,0.025729373,0.028086046,0.031262904,0.021930596,0.029705551,0.018777093,0.019791758,0.021459488,0.017572174,0.012755951,0.012212515,0.011219936,0.010308811,0.008315428,0.007698902,0.005993289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659376442,0.584744692,0.020023979,0,1,0
161,a reassuring ctg recording for about 30 min prior to the start of the induction and a cervical bishop s score 8 of 7 or less were the other requirements,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.236498058,0.056051604,0.035205014,0.024071421,0.032228746,0.024294548,0.027309263,0.024506059,0.021378184,0.019705176,0.019610537,0.017431594,0.017991072,0.013392818,0.012554086,0.011895559,0.011170302,0.00852556,0.008574056,0.00861589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.080041759,0.933169007,0.058375586,0,1,0
162,parous women in the higher dose group received 50 mgs as their first dose subsequent doses being 100 mgs,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.37144655,0.057590511,0.032520249,0.02987697,0.035430256,0.026971051,0.029404424,0.027279234,0.019488173,0.020873532,0.02009815,0.018096773,0.019592248,0.014611804,0.014027763,0.015237677,0.013844131,0.011425393,0.010037148,0.012663501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067419507,0.944396734,0.086088598,0,1,0
163,women were asked to complete a questionnaire postnatally to assess their satisfaction with their inductions and their preference for the route of administration oral or vaginal of the inducing agent were they to have another induction,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.091125831,0.052881662,0.071547963,0.022701645,0.029154591,0.023751974,0.035363644,0.026021337,0.031782053,0.019619277,0.020397941,0.023983249,0.021744641,0.012166604,0.012720145,0.010883658,0.011440822,0.009776229,0.007365678,0.00676517,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.156402588,0.924583077,0.027697727,0,1,0
164,of the 16 women in the low dose group who did not respond to the misoprostol 11 had a favorable cervix following prostin a gel administration 10 of whom went on to have a vaginal delivery while three did not respond to the pge2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.083689816,0.049756616,0.057543274,0.031104928,0.029246163,0.027260857,0.034716148,0.025026744,0.028687997,0.020092666,0.023828557,0.022204945,0.019860806,0.014029011,0.011983101,0.011338428,0.011243723,0.007766568,0.007625435,0.006882994,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.058585413,0.910345793,0.096338518,0,1,0
165,in the 100 mgs group of the six women with failed inductions two patients opted for caesarean sections two responded to prostin a gel and the other two had no response to the vaginal gel and eventually had to be delivered abdominally,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.182317331,0.06470833,0.063426338,0.019548323,0.035031516,0.023726726,0.034436163,0.030094322,0.030409381,0.022858644,0.023343116,0.022772478,0.023887727,0.014266536,0.01426252,0.01221175,0.012529124,0.009902023,0.009008787,0.009007906,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.093190916,0.94285357,0.048610482,0,1,0
166,because of safety concerns with the 100 mgs dose in parous women we started with an initial dose of 50 mgs subsequent doses being 100 mgs,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.373220921,0.0632983,0.039169218,0.023877885,0.037914392,0.025395917,0.031171283,0.029020725,0.022605203,0.021588264,0.02087892,0.019398406,0.022158703,0.014189404,0.014591077,0.014375929,0.014163947,0.01231007,0.009950181,0.012289668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.064247727,0.931434691,0.08991614,0,1,0
167,in conclusion misoprostol given orally is effective in inducing labor at term and seems acceptable to patients,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.043127526,0.030694501,0.036999676,0.543959498,0.033676147,0.097817272,0.045031667,0.021241691,0.022672057,0.022300955,0.035267591,0.028278008,0.022515152,0.024228761,0.021216976,0.021752661,0.018331762,0.013773267,0.015899489,0.013966148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047055483,0.050386682,0.964211583,0,0,1
168,there was no significant difference in the number of women delivering within 24 h of the start of the induction or in the time spent in active labor table ii,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.041461136,0.032700922,0.034054227,0.489682734,0.033030324,0.102630869,0.039159242,0.020251513,0.022002254,0.021702349,0.035393618,0.026020747,0.021765504,0.023695797,0.019517187,0.019868352,0.01677645,0.012744984,0.014986495,0.012912934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049027119,0.047492586,0.964245081,0,0,1
169,when the women who had failed inductions with misoprostol but who went on to have vaginal deliveries with the prostin gel were excluded from the analysis the difference in the induction to vaginal delivery interval between the two groups was even smaller,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.038200449,0.032762758,0.034306105,0.113334477,0.025732296,0.047399707,0.030240614,0.017795745,0.020344527,0.016721928,0.024012785,0.019706173,0.015341379,0.01589188,0.011575934,0.012134789,0.01069398,0.007213642,0.008232912,0.006521746,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03517314,0.065216415,0.932086289,0,0,1
170,this would suggest that in a certain group of women the 50 mgs dose does not seem adequate to initiate the changes required for labor to begin but in those that it does there is not much difference in efficacy between the two doses,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.045771465,0.035144497,0.040690087,0.609893203,0.036629599,0.121796012,0.046805795,0.023007577,0.023884909,0.024817539,0.042670026,0.030937206,0.026441434,0.027151702,0.024038255,0.023928117,0.020525618,0.016105648,0.017520437,0.016772833,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038686119,0.06071195,0.962137997,0,0,1
171,objective to compare the safety and effectiveness of vag inal with oral misoprostol for induction of labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.043392938,0.02746832,0.032866742,0.071062058,0.021690002,0.031105924,0.030028852,0.016007021,0.016855894,0.014275343,0.018100221,0.017336158,0.013347239,0.011714271,0.009986031,0.010185846,0.008217586,0.007158205,0.006143881,0.005781674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945091307,0.076270483,0.125802457,1,0,0
172,methods a total of 107 women with clinical indication for induction were randomly assigned to receive oral or vaginal misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.150247112,0.057406135,0.048850622,0.020681301,0.028913217,0.022083737,0.028481068,0.024465283,0.024997286,0.019015554,0.018443348,0.01912705,0.018757759,0.0116479,0.012082865,0.010658131,0.01008465,0.008845954,0.007602239,0.007447819,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.934113085,0.153848946,0.040497731,1,0,0
173,patients were eligible for inclusion if they presented with indications for induction and a single live fetus older than 37 weeks gestation in cephalic presentation and no contraindication to vaginal delivery,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.057295803,0.065580584,0.178962439,0.03327224,0.04351268,0.034373328,0.057620171,0.028750354,0.058590982,0.025138414,0.027060375,0.051181335,0.035750691,0.018048972,0.02075584,0.014964731,0.020863088,0.021264967,0.010345138,0.011066576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948947847,0.07452064,0.107244752,1,0,0
174,patients with previous uterine surgery known prostaglandin hypersensitiv ity three or more contractions per 10 minutes nonreassuring fetal heart tracings and those with vaginal birth contraindications were excluded from participation,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.092729174,0.072826989,0.197730049,0.028478801,0.049362648,0.030825242,0.062108569,0.028495282,0.055930808,0.024616143,0.030224141,0.05549014,0.039692499,0.019378884,0.021059966,0.014307573,0.023289256,0.023374423,0.010840821,0.013748422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941951156,0.095438845,0.051673908,1,0,0
175,doses of 100 g of oral or 25 g of vaginal misoprostol were given every 3 4 hours,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.388712376,0.058381844,0.033125993,0.033158392,0.035072368,0.027580664,0.029666349,0.028391737,0.019450027,0.020607939,0.021177575,0.018732095,0.021322628,0.014597482,0.014336276,0.016141783,0.014547148,0.012244816,0.010050319,0.013240964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069353804,0.949369073,0.082014926,0,1,0
176,if cervical ripening or active labor did not occur repeated doses of oral 100 200 g or vaginal 25 50 g were given until labor was established,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.40510428,0.065453775,0.046623271,0.024542565,0.04130717,0.026176255,0.03319614,0.032475263,0.024679612,0.023677839,0.023743682,0.020448642,0.025149973,0.016487317,0.015559314,0.015714126,0.015624043,0.012840607,0.010938958,0.013798058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069497019,0.939733505,0.070678942,0,1,0
177,this was repeated every 3 4 hours until the occurrence of progressive labor as evidenced by a bishop score of 7 or more a contraction pattern of three every 10 minutes and evidence of fetal intolerance or delivery,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.177462056,0.055729698,0.041648846,0.022367591,0.031209305,0.023234559,0.028726615,0.0244333,0.023474254,0.019654654,0.019901624,0.018376665,0.018792747,0.013146846,0.0124906,0.01114001,0.010712106,0.00811335,0.00818757,0.007665686,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.060935307,0.940455556,0.099110089,0,1,0
178,results fifty nine women received oral misoprostol and 48 received vaginal administration,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.318652928,0.059069924,0.035757564,0.026058435,0.033508785,0.024825204,0.027985111,0.026381189,0.020199254,0.020212563,0.01942653,0.017395036,0.019358169,0.013741725,0.013191811,0.013512138,0.012364962,0.010042646,0.00923779,0.010633446,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102322757,0.925038218,0.049095005,0,1,0
179,conclusion these findings indicate that in a closely supervised hospital setting with adequate monitoring oral misoprostol has the potential to induce labor as safely and effectively as its vaginal analogue,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.043281451,0.032888379,0.041096479,0.617970765,0.03677085,0.114480637,0.050348364,0.023232855,0.024651799,0.024890753,0.040484216,0.031721495,0.025719844,0.027521769,0.024603732,0.024324469,0.021217622,0.015850263,0.018022479,0.016454171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044385124,0.057521451,0.957312226,0,0,1
180,delivery time was similar for the vaginal and oral arms 1074 488 minutes versus 930 454 minutes p 11,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.045571715,0.032450102,0.029311558,0.411320508,0.031547409,0.091436438,0.034070268,0.018350258,0.019984297,0.020458823,0.032449543,0.02327013,0.019297626,0.021758974,0.017446015,0.018262029,0.015235166,0.011602655,0.013659469,0.011693791,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025832832,0.481652856,0.715358436,0,0,1
181,nulliparous women receiving oral misoprostol were twice as likely to need assistance in delivery,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.043990187,0.030727753,0.037059698,0.06549935,0.022677964,0.031960186,0.029326562,0.017115783,0.018486015,0.015178098,0.01971671,0.017854365,0.014284808,0.012349609,0.010028604,0.010232585,0.008719991,0.006666837,0.006301784,0.005786917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060282402,0.041316066,0.94236213,0,0,1
182,patients a total of 1677 patients aged 18 80 years recruited between april 1996 and october 1998 with stable or unstable angina or silent ischemia following successful completion of their first pci who had baseline total cholesterol levels between 135 and 270 mg dl 3 5 7 0 mmol l with fasting triglyceride levels of less than 400 mg dl 4 5 mmol l,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.078496858,0.070030235,0.1588604,0.0271984,0.043571044,0.031710461,0.05675086,0.036565904,0.059702676,0.028225264,0.029031716,0.043800078,0.036233123,0.017630056,0.020643655,0.014767684,0.018843491,0.017256083,0.010260439,0.01009882,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.948629916,0.079949297,0.083854243,1,0,0
183,men and women aged 18 to 80 years were recruited from 57 interventional centers in 10 countries belgium france germany italy united kingdom the netherlands spain switzerland canada and brazil,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.087557904,0.06241009,0.070462093,0.023551973,0.029853048,0.026277535,0.035808466,0.028293479,0.037715908,0.022297492,0.022075972,0.025737897,0.02139196,0.013365274,0.013830095,0.011771162,0.012031365,0.010496849,0.008673812,0.007042286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.937587321,0.102493383,0.068830334,1,0,0
184,patients were eligible for enrollment in the study if they had a total cholesterol level between 135 and 270 mg dl 3 5 7 0 mmol l with fasting triglyceride levels of less than 400 mg dl 4 5 mmol l before the index procedure,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.100299127,0.062359057,0.092253186,0.021636,0.03438573,0.0251415,0.041049883,0.031068109,0.040366925,0.023428163,0.023902599,0.028776271,0.025833696,0.014191752,0.01519629,0.012031614,0.013422091,0.011549116,0.00851313,0.008031581,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.944855213,0.081094623,0.081263453,1,0,0
185,interventions patients were randomly assigned to receive treatment with fluvastatin 80 mg d n 844 or matching placebo n 833 at hospital discharge for 3 to 4 years,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.372988671,0.062178362,0.035409003,0.027431127,0.034913473,0.026006654,0.029023802,0.028726475,0.021094242,0.021866973,0.020932648,0.01827378,0.020353759,0.014817206,0.014350021,0.015200131,0.013508643,0.011034439,0.009951229,0.012029069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113550924,0.946275115,0.039624136,0,1,0
186,between april 1996 and october 1998 a total of 1677 patients were recruited and were randomly assigned to receive either fluvastatin n 844 or placebo n 833 figure 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.210688367,0.065018848,0.036674991,0.022829857,0.031233966,0.024868889,0.026323806,0.024961516,0.024231715,0.020503528,0.019735266,0.017736424,0.01866493,0.013044384,0.012800897,0.012018398,0.011215868,0.008518798,0.009056249,0.008220875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199758217,0.901000679,0.025144678,0,1,0
187,during the study 97 of patients in the fluvastatin group and 98 in the placebo group were taking aspirin,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.238613084,0.057262868,0.028781088,0.027073093,0.030149739,0.025362706,0.026079895,0.022912508,0.019398846,0.018908676,0.01878871,0.01676424,0.016421663,0.013019645,0.012620206,0.012426932,0.010872887,0.008865098,0.008580872,0.008622348,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134249866,0.922301412,0.030695289,0,1,0
188,the proportion of patients taking other cardiovascular drugs during the study such as blockers calcium antagonists nitrates angiotensin converting enzyme inhibitors and diuretics was similar between groups table 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.064032704,0.029562442,0.02577983,0.135355026,0.025539739,0.0446315,0.026042234,0.015431941,0.01443611,0.014941765,0.021928374,0.016886488,0.013537281,0.015284508,0.010860147,0.011220719,0.009444455,0.007154817,0.008048781,0.007000476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120974571,0.897001386,0.040631499,0,1,0
189,at study end however the median reduction in fasting triglycerides was 14 in both groups,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.04151348,0.029706243,0.030130113,0.40584299,0.029998347,0.081809469,0.035184775,0.018397326,0.019578805,0.019397505,0.030053284,0.023189211,0.018646089,0.020104853,0.016628666,0.017833941,0.01452912,0.011278681,0.012992926,0.010915267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028444745,0.789337993,0.42145884,0,1,0
190,results of the lips study show that in patients with average cholesterol levels early cholesterol lowering treatment with fluvastatin 80 mg d following first pci with or without stenting resulted in a 5 3 absolute reduction and a 22 relative reduction in the risk of fatal or nonfatal major adverse cardiac events during 4 years of follow up compared with placebo,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12076217_element.csv,0.044308726,0.037282594,0.043788612,0.658784628,0.040285259,0.138229758,0.050313517,0.025143649,0.027037611,0.027731434,0.049061678,0.033545278,0.029522944,0.032246102,0.027655162,0.02721069,0.022942649,0.01703226,0.02035589,0.017898124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057114415,0.04426948,0.965107381,0,0,1
191,objective to compare the effects of the angiotensin ii antagonist losartan with those of atenolol on left ventricular hypertrophy lvh blood pressure and neurohormone concentrations in hypertensive patients with lvh,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.048672251,0.027032105,0.034751162,0.095535666,0.024545101,0.03515023,0.032139841,0.016788127,0.01667048,0.014945324,0.021136489,0.018117931,0.014402188,0.013854356,0.010472604,0.010747921,0.009039454,0.00719479,0.006727171,0.006459927,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.946386933,0.077311866,0.089651674,1,0,0
192,patients hypertensive patients with an echocardiographically documented left ventricular mass index lvmi 120 g m 2 men or 105 g m 2 women,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.132544428,0.07160259,0.112676188,0.019018643,0.040037844,0.025483366,0.043747779,0.032540381,0.042957444,0.023686053,0.024366653,0.033371355,0.030722143,0.014525821,0.01645756,0.012722475,0.015021365,0.014635131,0.009689346,0.009831286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.947812498,0.081230208,0.074702494,1,0,0
193,the study included men and women aged 21 80 years with mild to moderate essential hypertension and echocardiographically documented lvh assessed up to 30 days before enrolment,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.06087717,0.058833271,0.106301069,0.028099371,0.03412459,0.029761609,0.047732752,0.030726872,0.04789833,0.024098413,0.02517993,0.032367758,0.026635688,0.015331154,0.016701352,0.013279421,0.014237121,0.012647246,0.008808852,0.007719249,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.952491164,0.080117084,0.105378859,1,0,0
194,patients were randomly assigned in a double blind manner to receive losartan or atenolol 50 mg once daily for 36 weeks fig,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.38611877,0.058115121,0.031837411,0.03493974,0.034862455,0.028194791,0.030276673,0.02812369,0.019059822,0.020989472,0.020994218,0.018848062,0.020818442,0.015106183,0.014499818,0.016538257,0.014458,0.012124321,0.010218504,0.013249964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084292538,0.950346828,0.058053922,0,1,0
195,our findings confirm those of previous smaller studies showing the ability of losartan 14 15 16 18 19 and other ang ii antagonists including valsartan 17 and irbesartan 20 to produce significant improvements in one or more indices of lvh including lvm lvmi and left ventricular geometry in hypertensive patients,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.044525851,0.036133982,0.043578286,0.668484688,0.040276188,0.132181317,0.052122097,0.025012143,0.026369892,0.027423702,0.046800096,0.03415006,0.02894027,0.031305265,0.027936874,0.026852917,0.023667084,0.017672926,0.020309489,0.01804941,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046670344,0.049871936,0.968644679,0,0,1
196,conclusions both losartan and atenolol based regimens effectively decreased blood pressure,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.04598951,0.031686027,0.033916,0.527210236,0.033097643,0.094877571,0.041373357,0.020679627,0.021389823,0.022087254,0.035274528,0.027100654,0.021813305,0.024039861,0.020362765,0.021401307,0.018067846,0.013716441,0.015741661,0.013752264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063979596,0.047914751,0.963438153,0,0,1
197,results the estimated treatment difference between the losartan and atenolol regimens mean change from baseline at week 36 in lvmi was 22 5 g m 2 95 confidence interval ci 27 36 to 2 37 g m 2 in favor of losartan indicating that losartan was significantly non inferior p 0 001 non inferiority limit 8 g m 2 and numerically superior to atenolol in reducing lvmi,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.048730962,0.039476201,0.042775407,0.673645675,0.041161723,0.142955005,0.05116345,0.025811732,0.026520045,0.028796455,0.050954558,0.034595087,0.03094756,0.03203107,0.028587924,0.027786193,0.024204176,0.018662758,0.02102061,0.019398049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04223128,0.057746191,0.967172563,0,0,1
198,overall both the losartan and atenolol regimens were well tolerated although the incidence of drug related clinical adverse events in patients receiving losartan was significantly lower than that in patients receiving atenolol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12195129_element.csv,0.047624562,0.036246467,0.043553185,0.660305381,0.038726918,0.13224037,0.051809512,0.024687251,0.026065141,0.027239293,0.04582287,0.033797383,0.028827796,0.02949805,0.027168017,0.026743343,0.023164917,0.017631162,0.019216869,0.019049384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035244659,0.066205144,0.963133872,0,0,1
199,we studied 30 untreated hypertensive patients aged 28 55 years who were rotated through six 6 week periods of daily treatment with amlodipine 5 mg doxazosin 4 mg lisinopril 10 mg bisoprolol 5 mg bendrofluazide 2 5 mg or placebo,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12401122_element.csv,0.449372351,0.068982355,0.03970902,0.026943665,0.041507795,0.027992796,0.031986158,0.033442199,0.024053982,0.025105767,0.023547402,0.020616304,0.023198392,0.016853936,0.016246993,0.017359674,0.016140018,0.013195636,0.011893517,0.014590501,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.548571289,0.768286407,0.013596078,1,1,0
200,in conclusion antihypertensive drugs differ in their short term effects on augmentation of the systolic pulse wave and secretion of bnp from the heart regarded as a sensitive measure of strain on cardiomyocytes,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12401122_element.csv,0.044428315,0.033461556,0.038269956,0.587457418,0.03718273,0.112527482,0.046578966,0.022197969,0.023630902,0.023985947,0.041071944,0.029635016,0.02521812,0.028499415,0.024133278,0.023550175,0.019725826,0.015172411,0.017598223,0.015297035,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044922046,0.050526701,0.960437834,0,0,1
201,moreover meta analysis of the trials suggests small but distinct differences among drug classes in their ability to prevent specific outcomes with calcium blockers being most effective in preventing strokes but angiotensin converting enzyme ace inhibitors and diuretics having the edge in preventing coronary disease 1 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12401122_element.csv,0.044591717,0.034305178,0.045066971,0.659986615,0.038794022,0.12629877,0.05307221,0.024697259,0.02630879,0.026701089,0.044399839,0.034668084,0.028385738,0.029751502,0.026926346,0.026297275,0.023353016,0.017280836,0.019175939,0.018415796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057449188,0.055272095,0.965264499,0,0,1
202,not all patients tolerated the drugs equally well the numbers who repeated each drug at the end of the rotation chosen by efficacy and tolerability were respectively 4 4 8 11 and 2 for amlodipine doxazosin lisinopril bisoprolol and bendrofluazide,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12401122_element.csv,0.112638749,0.036446147,0.024797894,0.079835176,0.028285095,0.036641415,0.024473023,0.016464153,0.014502086,0.01541742,0.020922268,0.016057767,0.013185916,0.015271609,0.010575118,0.011225703,0.00994974,0.006935609,0.008312798,0.007202113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031820741,0.110754237,0.913390815,0,0,1
203,exclusion criteria included diastolic bp of less than 95 mm hg known history of diabetes mellitus fasting glucose 140 mg dl or random glucose 200 mg dl urinary protein to creatinine ratio of more than 2 5 accelerated or malignant hypertension within 6 months secondary hypertension evidence of non bp related causes of chronic kidney disease serious systemic disease clinical congestive heart failure or specific indication for or contraindication to a study drug or study procedure,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12435255_element.csv,0.076265246,0.084499061,0.309835702,0.042126406,0.067314737,0.04401172,0.094232611,0.036043778,0.09175884,0.035150167,0.038884316,0.091411948,0.05172763,0.02721584,0.034606986,0.018129934,0.035069495,0.039665032,0.016911743,0.021530019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947347879,0.088802777,0.068943687,1,0,0
204,three primary treatment comparisons were specified lower vs usual bp goal ramipril vs metoprolol and amlodipine vs metoprolol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12435255_element.csv,0.083936788,0.034930915,0.03378753,0.03871534,0.024796089,0.025328448,0.027469596,0.017566463,0.017114723,0.014989536,0.017403441,0.0160092,0.014381437,0.011642016,0.0100079,0.009118372,0.00811076,0.006480516,0.006052813,0.005935043,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075870916,0.946382642,0.063260101,0,1,0
