id,text,file_path,otreatment,opatient,iprocedure,iss,idiagnostic,podisease,prss,prdisease,poage,idiagnostictest,poss,idisease,posize,potreatment,pophyconditon,pogender,poprocedure,pomedhistory,prbehavior,poclinical
115,study methods in this double blind randomized trial 126 women received misoprostol 50 g either orally every 3 hours or vaginally every 6 hours for induction of labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.065222666,0.059635635,0.615775108,0.073597014,0.091532826,0.093085438,0.046607453,0.11003641,0.057119992,0.052891769,0.041405175,0.047821045,0.224475443,0.036846004,0.06323979,0.091661595,0.038779829,0.031004891,0.033228513,0.048947737
116,each patient received an oral tablet every 3 hours and a vaginal tablet every 6 hours administered concurrently with an oral tablet to a maximum of 48 hours,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.096182786,0.067262143,0.678286314,0.060914189,0.074844263,0.060603105,0.056865577,0.065017037,0.053408157,0.058915306,0.040179625,0.048963096,0.08876387,0.033622444,0.04705435,0.056435872,0.035646237,0.032036573,0.028346956,0.038222749
117,each envelope contained 2 packages of identically appearing pills 1 labeled oral medication either placebo or misoprostol 50 g and 1 labeled vaginal medication either placebo or misoprostol 50 g,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.09751603,0.068023533,0.686761975,0.064791851,0.076228507,0.060501482,0.057808429,0.071404941,0.051074579,0.057842888,0.039513562,0.049312927,0.087426789,0.033485778,0.047674373,0.058036715,0.035108674,0.032148194,0.028155977,0.039706472
118,as per our center s usual protocol for cervical ripening those women not in labor at 48 hours were reassessed and their bishop score repeated,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.10206902,0.072230555,0.235062242,0.0570908,0.073822185,0.076248251,0.043749634,0.04639253,0.066637218,0.052662849,0.047514521,0.042828843,0.070271321,0.036320537,0.044097636,0.04172042,0.026222575,0.030472258,0.029301278,0.026139785
119,results median time to delivery was shorter in those women who were receiving vaginal misoprostol vaginal 14 3 hours vs oral 23 1 hours p 0004 and more women in the oral group required oxytocin augmentation of labor 73 vs 42 rr 1 98 95 ci 1 29 to 3 06,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.428613931,0.137932062,0.104415148,0.057490643,0.056356322,0.057542454,0.0572627,0.053761769,0.055388093,0.043425009,0.042112283,0.04581593,0.040909264,0.038769521,0.038791098,0.03722674,0.035803497,0.02991805,0.031102344,0.026741765
120,conclusion vaginal misoprostol administered every 6 hours is more effective for induction of labor than oral misoprostol administered every 3 hours,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.613610148,0.148240224,0.111263409,0.053807158,0.060297225,0.050424729,0.069944464,0.080100916,0.047375489,0.044137713,0.040947698,0.04766801,0.041392833,0.036158543,0.039979689,0.041845392,0.045807388,0.028563447,0.027358782,0.030019075
121,when comparing the groups with respect to intrapartum complications there was an increased rate of tachysystole in those women receiving vaginal misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.569464624,0.145087898,0.101932749,0.054179996,0.057950567,0.051752288,0.064945891,0.06724523,0.049345989,0.043231562,0.041385219,0.045915049,0.039931156,0.036598634,0.039661262,0.038906544,0.040936828,0.028977625,0.028136307,0.028004782
122,oral misoprostol has several potential advantages compared to vaginal misoprostol including ease of administration and avoidance of repeated vaginal examinations,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11641676_element.csv,0.627519131,0.149791136,0.106044598,0.052877486,0.060948405,0.054617554,0.07216382,0.089048028,0.048059091,0.041773822,0.041760847,0.048780348,0.044768959,0.036304861,0.042024191,0.04500749,0.047830284,0.02720939,0.02695944,0.031311926
123,misoprostol a prostaglandin e1 analog is highly effective for pregnancy termination of early pregnancy and for induction of labor in late pregnancy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.562415838,0.134252682,0.108733483,0.051808819,0.057530962,0.05304502,0.065815814,0.083733931,0.048002951,0.042887878,0.041644715,0.044575132,0.040861897,0.033168316,0.037220083,0.040072463,0.042581737,0.025994118,0.025493018,0.028024931
124,the present study included all women who failed to abort after 48 h of initiation of misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.09942396,0.059983809,0.118967608,0.067593589,0.078533441,0.217863649,0.043654367,0.105267867,0.108120605,0.058834869,0.079562269,0.050400499,0.199788049,0.046305627,0.076240003,0.091110878,0.037884425,0.03481438,0.03707128,0.038500581
125,this was a descriptive observational study using retrospective record review of all pregnant women in the second trimester 14 28 weeks of pregnancy who failed to abort by misoprostol administration over a period of 12 years between 1998 and 2010,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.092367597,0.053846557,0.160446405,0.06737154,0.075745873,0.188301414,0.046879642,0.152118057,0.084070973,0.058497526,0.065899409,0.04528578,0.194062456,0.041567445,0.0740401,0.092561118,0.038714115,0.030438896,0.033540193,0.039086647
126,all women were admitted in the labor room of the department of obstetrics and gynecology faculty of medicine chiang mai university chiang mai thailand,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.070626192,0.055042572,0.317768216,0.052249521,0.069399104,0.094676316,0.03635744,0.070593312,0.06052395,0.051298611,0.043594707,0.038445316,0.114966996,0.031428017,0.050974581,0.05902319,0.026961243,0.026657518,0.026844224,0.028398775
127,a total of 680 women underwent termination of pregnancy over the study period of 12 years from 1998 to 2010,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.081928983,0.060350977,0.18255879,0.092627428,0.09762875,0.246445656,0.047057513,0.13018541,0.137293845,0.067368463,0.093028218,0.057753563,0.366183639,0.062614791,0.099071935,0.1434443,0.047594074,0.043291245,0.056097984,0.057445422
128,women received additional doses of misoprostol in case of failure to insert the modified condom balloon,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.096088886,0.065208331,0.630644619,0.058925238,0.070694588,0.05467198,0.054660548,0.064505607,0.048678007,0.054697886,0.036849316,0.046683919,0.080143444,0.031546153,0.043861821,0.052766815,0.03156586,0.029690504,0.02722084,0.034676064
129,additionally some women received additional doses of misoprostol instead of modified condom balloon as per the physician s choice,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.098786138,0.065601535,0.646991253,0.062420782,0.072080582,0.056328408,0.057222456,0.064751469,0.050018847,0.057216424,0.039240263,0.048514444,0.08028762,0.032804865,0.04419069,0.054159354,0.032432966,0.031687375,0.028521508,0.037543725
130,data included baseline characteristics of the pregnant women doses and route of misoprostol administration adverse effects further methods used after failure mean interval between initiation of termination and delivery time fetal expulsion time estimated blood loss analgesia and oxytocin requirement and serious complications such as excessive blood loss and uterine rupture,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.234049305,0.077115819,0.100147083,0.055136677,0.055657621,0.103512228,0.058574867,0.110690862,0.059956796,0.046830334,0.058168851,0.041349493,0.059743617,0.029458024,0.044341631,0.043918323,0.031609353,0.026741991,0.022511574,0.027312018
131,fifty two 76 5 women required oxytocin infusion and 37 54 4 women received analgesia,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.076068997,0.059614159,0.206950217,0.066378906,0.081353933,0.129857689,0.038471062,0.057858925,0.088354073,0.053000066,0.062611334,0.045804713,0.156363711,0.041929431,0.0623025,0.063499175,0.029006058,0.034225281,0.032656085,0.032591581
132,modified condom balloon was used as a primary technique in 33 8 of women who failed to abort,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.078897037,0.059039608,0.519426465,0.055137541,0.069143981,0.057594106,0.044674754,0.056643758,0.050161719,0.050904475,0.035062097,0.042585906,0.095972352,0.030540755,0.041892037,0.048721649,0.025427887,0.028003624,0.02624316,0.030823093
133,the longest abortion time was 247 88 h this was a nulliparous woman with a live fetus 22 weeks of gestation,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.090087682,0.066517033,0.145744145,0.068340249,0.079577856,0.167475209,0.044849988,0.054727703,0.101897873,0.059041217,0.085237995,0.048535358,0.110962279,0.042893484,0.066827208,0.057577025,0.031863753,0.038831688,0.037060287,0.032457132
134,68 10 women failed to abort within 48 h of initiation of misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11759980_element.csv,0.121588916,0.072253451,0.206279814,0.054557666,0.062960513,0.064188212,0.038802575,0.050093424,0.056311391,0.04564574,0.038871277,0.038856126,0.070797689,0.03311472,0.038721081,0.039964069,0.024204277,0.026974972,0.025115717,0.024939854
135,objective to evaluate the efficacy of oral and vaginal misoprostol compared with the standard regimen using dinoprostone for induction of labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.237391755,0.085123993,0.232894748,0.065324485,0.070450716,0.133030832,0.090741858,0.296675831,0.048359092,0.076006062,0.061570346,0.050769452,0.122962028,0.037354261,0.057796869,0.077693,0.058799613,0.034012675,0.025969911,0.046014473
136,however the lack of any serious adverse events was noteworthy because this study was carried out among a group of women with high risk pregnancies,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.311818033,0.100424752,0.092340812,0.052961536,0.0563385,0.071491718,0.051399246,0.076097786,0.053716134,0.044198338,0.047029305,0.038658194,0.048900831,0.031741492,0.038108367,0.036888972,0.030156098,0.026340909,0.023161339,0.024212768
137,misoprostol a prostaglandin e1 analogue is an inexpensive and potentially useful drug to women requiring induction of labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.407316089,0.099123046,0.161088839,0.046906866,0.055115689,0.049520522,0.059258215,0.100169294,0.041965611,0.040987365,0.036225442,0.038191199,0.044304457,0.027480246,0.032667138,0.038434003,0.036623474,0.023715286,0.020728542,0.026147243
138,from april 1999 to november 2000 all women with obstetric or medical indications for induction of labor were recruited to the trial,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.085529119,0.059394471,0.141556203,0.070911318,0.08407294,0.228409484,0.039861545,0.111888193,0.113407508,0.058278758,0.07990063,0.050158389,0.216058955,0.047911685,0.08245638,0.098909862,0.038283471,0.033965942,0.039816074,0.039949082
139,a total of 573 women were recruited to the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.091265336,0.064834945,0.237451985,0.109316297,0.103564933,0.181371689,0.056000512,0.146816403,0.107315831,0.078112595,0.076134026,0.062901407,0.442443609,0.068751253,0.094612263,0.154984027,0.052488323,0.048001241,0.063827366,0.071916357
140,patients who had a bishop score greater than 7 where amniotomy was possible without the prior use of prostaglandins were also excluded,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.122146338,0.072653256,0.122828849,0.063191764,0.070438109,0.154407635,0.047399051,0.05903995,0.088960752,0.055684295,0.082310006,0.046642438,0.076338731,0.039616328,0.058201227,0.047907274,0.03183632,0.036116101,0.032623835,0.028380349
141,these included the presence of thick meconium stained amniotic fluid low 5 minute apgar score less than 7 admission to the neonatal intensive care unit or the diagnosis of hypoxic ischemic encephalopathy by the pediatrician,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.096318193,0.060630225,0.185531795,0.059725165,0.066960014,0.126448601,0.04693009,0.065653495,0.072178885,0.052222751,0.069200963,0.041832842,0.068142146,0.033066869,0.053703517,0.043754224,0.029126348,0.031681582,0.027802477,0.026670918
142,a total of 573 women admitted for induction of labor were randomized to receive oral misoprostol vaginal misoprostol or the control dinoprostone,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.063671559,0.058662836,0.495347321,0.081049725,0.096611053,0.137283817,0.045867801,0.137949392,0.0716272,0.06023578,0.051619083,0.049548935,0.338798493,0.045287427,0.079043061,0.1234385,0.045200821,0.033557478,0.041765764,0.056146163
143,there were twice as many women randomized into the dinoprostone group,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.077514932,0.054421008,0.536973298,0.05827618,0.069633901,0.060902055,0.04334791,0.062958017,0.048596524,0.05177566,0.034795683,0.043433957,0.130196258,0.032297965,0.045369204,0.056119818,0.026691092,0.029107831,0.027091339,0.034713097
144,inclusion criteria were any women having induction of labor with a singleton cephalic fetus of 34 weeks or more in whom the membranes were unruptured cardiotocography showed no fetal distress and there were no painful contractions,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.113807276,0.078247994,0.102242805,0.079408355,0.088450663,0.316022068,0.055156603,0.08148393,0.169340849,0.072414331,0.138211846,0.063056506,0.126211658,0.053458508,0.095409982,0.086848475,0.046208583,0.047703501,0.052174293,0.041861732
145,however significantly fewer women delivered vaginally in the oral misoprostol group compared with those in the dinoprostone group relative risk 0 71 99 confidence interval 0 51 0 99,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.595405638,0.156982377,0.09217231,0.058914412,0.05949102,0.056188636,0.066161655,0.067820638,0.05164995,0.041624386,0.044943739,0.049646284,0.044672377,0.039502218,0.043321453,0.043143779,0.042906296,0.029777454,0.030392097,0.030626811
146,there were no significant differences in the incidence of thick meconium low 5 minute apgar scores less than 7 admission to neonatal intensive care units or hypoxic ischemic encephalopathy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11814497_element.csv,0.562921286,0.150174007,0.097984746,0.055891562,0.058509108,0.056323647,0.065252133,0.06146463,0.051721632,0.042796452,0.044343416,0.047618091,0.039361458,0.038591873,0.041374069,0.039670635,0.041762695,0.02994165,0.03044663,0.028756293
147,we aimed to establish whether selective blocking of angiotensin ii improves lvh beyond reducing blood pressure and consequently reduces cardiovascular morbidity and death,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.615543365,0.144661874,0.100601017,0.053002328,0.062364072,0.057673018,0.072982468,0.09989278,0.050655086,0.049327798,0.045877639,0.046183854,0.043117736,0.035685346,0.038934119,0.043274023,0.047830552,0.029190306,0.025825011,0.02915566
148,we excluded patients with secondary hypertension myocardial infarction or stroke within the previous 6 months angina pectoris requiring treatment with blockers or calcium antagonists heart failure or left ventricular ejection fraction of 40 or less or a disorder that in the treating physician s opinion required treatment with losartan or another angiotensin ii type 1 receptor antagonist atenolol or another blocker hydrochlorothiazide or angiotensin converting enzyme inhibitors,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.091547519,0.064660847,0.150192723,0.070537761,0.080707438,0.254089653,0.055001967,0.079360351,0.125972986,0.067232609,0.117448054,0.053233694,0.10119915,0.044085629,0.080308057,0.067909159,0.041030802,0.040750574,0.041155767,0.034065783
149,we assigned participants once daily losartan based or atenolol based antihypertensive treatment for at least 4 years and until 1040 patients had a primary cardiovascular event death myocardial infarction or stroke,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.059744399,0.051750895,0.4798024,0.054586329,0.082114466,0.10751798,0.038751319,0.06521859,0.068393923,0.048526686,0.046884522,0.040339947,0.153404802,0.033107631,0.057675146,0.065432824,0.029012891,0.028386412,0.029484792,0.033550721
150,we randomly assigned participants losartanbased or atenolol based regimens after 1 2 weeks of placebo if trough sitting blood pressures were 160 200 mm hg systolic 95 115 mm hg diastolic or both,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.067005925,0.058672179,0.662631035,0.06344641,0.083640948,0.07150732,0.0489375,0.067735963,0.057660136,0.054923374,0.040293526,0.047497381,0.132078394,0.034413721,0.054530624,0.06481351,0.03264625,0.03067038,0.03079246,0.039806213
151,we followed up patients for at least 4 years with regular visits and increases in drug doses to reach a target blood pressure of less than 140 90 mm hg figure 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.075365022,0.058116537,0.323809534,0.053674895,0.071611196,0.073413461,0.041520178,0.055178054,0.059135526,0.049197037,0.039313715,0.038874909,0.089089833,0.031813469,0.04425557,0.045136705,0.024272086,0.027870523,0.02565542,0.02721848
152,we also measured serum and plasma concentrations in two central laboratories of haemoglobin creatinine alanine aminotransferase glucose uric acid sodium potassium total and hdl cholesterol and urine concentrations of albumin and creatinine,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.091257699,0.056914251,0.382146031,0.051286869,0.063348614,0.061299831,0.050685275,0.077767797,0.044685796,0.05253762,0.036710292,0.037565079,0.068273976,0.026808685,0.039891712,0.042885508,0.02614657,0.028108023,0.021357384,0.026466597
153,after the end date patients had a follow up clinic visit or at least a vital status check within 6 weeks,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.076140895,0.059451442,0.560903192,0.054714546,0.073325716,0.066541314,0.047611933,0.055978484,0.055339608,0.053366523,0.039865088,0.04337636,0.088330135,0.031912133,0.045339286,0.051741149,0.028233215,0.029659448,0.027511602,0.032218013
154,first despite the central importance of blood pressure in the complications of hypertension additional adjustment of the main outcome for small differences in systolic and diastolic pressure had little effect on the estimate of the benefit associated with losartan,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.599251926,0.149094954,0.095214926,0.05247286,0.059761785,0.055742744,0.065441221,0.07616698,0.048783321,0.04347612,0.043005742,0.046771836,0.042597216,0.03678526,0.041502792,0.041612759,0.043890588,0.027859764,0.027301399,0.028809512
155,second our results extend those of previous short term studies by showing greater reduction of lvh after more than 4 years of treatment with losartan than with atenolol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.684101939,0.165696576,0.098754339,0.058389973,0.064377174,0.057564996,0.075687036,0.078310542,0.05259392,0.047719713,0.047641151,0.052611925,0.044771675,0.041501902,0.045545984,0.045780815,0.049337968,0.032624613,0.030845022,0.032472476
156,this benefit could result from increased protection against the detrimental effects of angiotensin ii or from specific effects of losartan,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.648247957,0.152147979,0.105629511,0.053036138,0.061371598,0.056711167,0.072474122,0.079532795,0.049590524,0.045897912,0.04558887,0.048886295,0.043870226,0.037710473,0.043354493,0.044401437,0.047162745,0.029234447,0.028262563,0.030160142
157,furthermore lvh both on ecg and echocardiography is a blood pressure independent predictor for cerebrovascular events,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.608629107,0.146027744,0.100004241,0.054978155,0.060541946,0.054040041,0.068098404,0.074211329,0.049788289,0.04570372,0.04397025,0.046897531,0.040229369,0.037101861,0.039960247,0.040414747,0.043808561,0.029353485,0.028365823,0.029001381
158,this result is encouraging since reduction of heart rate and hence myocardial oxygen demand is generally thought to contribute to the cardioprotective properties of blockers 12 13 and might have outweighed beneficial coronary vascular effects of losartan,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11937178_element.csv,0.650442779,0.151334226,0.104427464,0.05320242,0.062323339,0.057780474,0.072164163,0.079784371,0.049177181,0.044632129,0.045629624,0.049176019,0.045445658,0.037901182,0.043993156,0.04520094,0.047143411,0.029123193,0.028141411,0.03089189
159,the mean induction to vaginal delivery interval in the oral 50 mgs group in our earlier study 6 was 28 h with a standard deviation of 16 h taking a shortening of 7 h in this interval for the 100 mgs group as clinically significant we calculated that 105 patients would be required to give the study a power of 80 a 0 02 b 0 20 instat version 3 01 graphpad software inc san diego ca usa,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.07233423,0.055535667,0.25359872,0.055615488,0.071778752,0.095017068,0.035198934,0.070713341,0.064136691,0.047184866,0.039966024,0.038958155,0.130503863,0.035437435,0.051094413,0.054335285,0.025712853,0.028194675,0.026480446,0.02971982
160,comparison of outcomes in labor in women randomly allocated to 50 or 100 mgs of misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.070922278,0.055065054,0.390747368,0.067822598,0.083990708,0.099992827,0.039662208,0.119996116,0.056738596,0.052526552,0.040750016,0.044130672,0.237633049,0.039388537,0.062121008,0.084096164,0.034045272,0.02948123,0.033980824,0.042446941
161,a reassuring ctg recording for about 30 min prior to the start of the induction and a cervical bishop s score 8 of 7 or less were the other requirements,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.088656053,0.07065469,0.332789123,0.059383754,0.077879786,0.071757779,0.050463378,0.044417109,0.067384303,0.059000246,0.047748707,0.045594618,0.072923921,0.037436754,0.046236608,0.044595808,0.028093791,0.031391997,0.03102011,0.028073449
162,parous women in the higher dose group received 50 mgs as their first dose subsequent doses being 100 mgs,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.084943734,0.06303741,0.677482188,0.06515868,0.077662237,0.059763014,0.057179883,0.064840108,0.054240149,0.061078195,0.041242734,0.049958613,0.094742954,0.034829654,0.047846586,0.057933182,0.033301149,0.03339177,0.030445885,0.039420575
163,women were asked to complete a questionnaire postnatally to assess their satisfaction with their inductions and their preference for the route of administration oral or vaginal of the inducing agent were they to have another induction,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.070091963,0.055345356,0.243751481,0.052107543,0.073658898,0.109794624,0.035807002,0.067225687,0.070092894,0.047282103,0.046016682,0.040268302,0.11388234,0.033693384,0.053372722,0.054131243,0.026185313,0.027770171,0.026574638,0.026925737
164,of the 16 women in the low dose group who did not respond to the misoprostol 11 had a favorable cervix following prostin a gel administration 10 of whom went on to have a vaginal delivery while three did not respond to the pge2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.115057364,0.079000361,0.143098354,0.062277604,0.071202867,0.107659549,0.043571975,0.047225058,0.08154393,0.05475729,0.059316751,0.045326933,0.080137894,0.041049883,0.051586233,0.045212574,0.028533559,0.034953676,0.03255973,0.027237784
165,in the 100 mgs group of the six women with failed inductions two patients opted for caesarean sections two responded to prostin a gel and the other two had no response to the vaginal gel and eventually had to be delivered abdominally,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.084553152,0.063638292,0.218955472,0.055559736,0.073657185,0.095469534,0.036307555,0.053037331,0.070514545,0.04737873,0.046995819,0.040675811,0.09507104,0.036212999,0.049455576,0.046922188,0.025892431,0.028996373,0.027971338,0.026547214
166,because of safety concerns with the 100 mgs dose in parous women we started with an initial dose of 50 mgs subsequent doses being 100 mgs,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.073657155,0.056476835,0.524766386,0.053212453,0.070883647,0.061855365,0.045122039,0.063510701,0.051923074,0.05091729,0.035568092,0.041756283,0.088379934,0.029978028,0.043621592,0.048842181,0.026543347,0.027435178,0.025659829,0.031104051
167,in conclusion misoprostol given orally is effective in inducing labor at term and seems acceptable to patients,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.674993932,0.164185748,0.096433558,0.05626161,0.063370869,0.057162713,0.074528769,0.08039698,0.052425943,0.046914138,0.04730482,0.052428402,0.044541899,0.040516134,0.044797149,0.045674998,0.049312301,0.030885458,0.030581132,0.032621283
168,there was no significant difference in the number of women delivering within 24 h of the start of the induction or in the time spent in active labor table ii,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.529430628,0.144185334,0.095599651,0.055225018,0.057656832,0.054394804,0.061045289,0.06147714,0.052407086,0.044312745,0.04309972,0.045642979,0.040819794,0.037690762,0.038970515,0.037932664,0.038481273,0.029619362,0.029267324,0.027219262
169,when the women who had failed inductions with misoprostol but who went on to have vaginal deliveries with the prostin gel were excluded from the analysis the difference in the induction to vaginal delivery interval between the two groups was even smaller,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.254552335,0.101799347,0.123609304,0.052734811,0.058225971,0.060546529,0.04673896,0.055231161,0.054121956,0.045805868,0.043491218,0.039226551,0.043523774,0.033584367,0.036695328,0.034226306,0.02860868,0.027143646,0.025133908,0.022483852
170,this would suggest that in a certain group of women the 50 mgs dose does not seem adequate to initiate the changes required for labor to begin but in those that it does there is not much difference in efficacy between the two doses,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\11952465_element.csv,0.645391107,0.159068763,0.100139424,0.055458412,0.061529882,0.055422366,0.071574271,0.074958518,0.050527684,0.042741783,0.043902438,0.050046809,0.045928262,0.039013516,0.044207957,0.045212381,0.046231952,0.0297422,0.029074857,0.031523459
171,objective to compare the safety and effectiveness of vag inal with oral misoprostol for induction of labor,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.225860238,0.08836893,0.27116695,0.072759308,0.077006593,0.157709762,0.095102839,0.32897529,0.051291138,0.083827786,0.066751704,0.055178855,0.150687337,0.041410964,0.064775512,0.089840524,0.066177376,0.03615674,0.02954719,0.051717024
172,methods a total of 107 women with clinical indication for induction were randomly assigned to receive oral or vaginal misoprostol,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.074028425,0.070368886,0.408867002,0.107401229,0.119302683,0.215905428,0.056360036,0.194179714,0.105909675,0.069039457,0.072005682,0.059272081,0.470983803,0.058990676,0.104846515,0.188747779,0.064948514,0.040263712,0.055099551,0.076975986
173,patients were eligible for inclusion if they presented with indications for induction and a single live fetus older than 37 weeks gestation in cephalic presentation and no contraindication to vaginal delivery,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.110303774,0.082272343,0.112036377,0.092827901,0.102767326,0.414882898,0.065957971,0.105855599,0.244581267,0.095193319,0.175664261,0.074348405,0.174703464,0.067133442,0.122876763,0.129438013,0.058340188,0.05818449,0.06966491,0.052865531
174,patients with previous uterine surgery known prostaglandin hypersensitiv ity three or more contractions per 10 minutes nonreassuring fetal heart tracings and those with vaginal birth contraindications were excluded from participation,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.096994564,0.067773812,0.123870775,0.075593404,0.086534582,0.307391167,0.055865228,0.087472886,0.148421675,0.07174883,0.130197778,0.057047874,0.123919725,0.048988681,0.092599131,0.080864802,0.044714261,0.042975731,0.046783846,0.03735191
175,doses of 100 g of oral or 25 g of vaginal misoprostol were given every 3 4 hours,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.081037506,0.061882783,0.682079256,0.063215256,0.077536002,0.062068161,0.054531466,0.065822765,0.053591717,0.061639316,0.040063184,0.04934616,0.106540851,0.033961136,0.049216054,0.060150832,0.033879284,0.032689113,0.029070394,0.039602526
176,if cervical ripening or active labor did not occur repeated doses of oral 100 200 g or vaginal 25 50 g were given until labor was established,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.07923539,0.062210109,0.630591512,0.060090274,0.075178489,0.06226277,0.051475152,0.06306947,0.054011267,0.055510841,0.0402015,0.045397673,0.08688771,0.032424826,0.04606903,0.054322127,0.029949207,0.030730311,0.027536988,0.035468206
177,this was repeated every 3 4 hours until the occurrence of progressive labor as evidenced by a bishop score of 7 or more a contraction pattern of three every 10 minutes and evidence of fetal intolerance or delivery,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\12052597_element.csv,0.152984172,0.075906798,0.260943621,0.052709758,0.060858421,0.053548399,0.047115155,0.049393602,0.049602453,0.046867345,0.036620773,0.037627097,0.0469038,0.029909641,0.034852292,0.035524067,0.025244961,0.026713448,0.024271874,0.023998385
